basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Меттер, И			На поруки. [О роли общественности вперевоспитании правонарушителей]. Илл; Д. Пивоваров	Юность	1960	5	79-81
Головань, Ирина			Человек строит семью. Илл:  Ю.Вечерский	Юность	1960	5	82-86
Морозова, Н			Будущее начинается сегодня. [Из опытаполитехн. обучения в школе № 6. г. Люберцы Моск. обл.]	Юность	1960	5	87-90
Бианки, Вал			«Даешь завод-втуз!» [К созданиюзавода-втуза при Металлич. заводе. Ленинград]	Юность	1960	5	96-97
Куняев, Станислав			Доски почета. — Стихи о яблонях. [Стихи]	Юность	1960	6	47
Леванский, Владимир			Размышления о титулах. Стихи	Юность	1960	6	47
Карпов, Николай			Фантазия. Стихи	Юность	1960	6	47
Назаров, Вячеслав			Сорок строк. — Ночной костер. — «Месяц выгнул в ночи голубыерога...» [Стихи]	Юность	1960	6	48
Синицын, Евгений			В вагоне. Стихи	Юность	1960	6	49
Лысцов, Иван			На Ангару. Стихи	Юность	1960	6	49
Шкода, Вадим			«Я знаю труд не понаслышке...» Стихи	Юность	1960	6	50
Гринин, Семен			Манолису Глезосу. — Новое строительство. — Галя Огарышева.[Стихи]	Юность	1960	6	50
Никитина, Тамара			«Как утра хороши...» Стихи	Юность	1960	6	51
Савельев, Владимир			Петькина юность. Стихи	Юность	1960	6	51
Сухарев, Дмитрий			Заполярная лаборатория. — Проводы, [Стихи]	Юность	1960	6	52
			Продолжаем разговор о совести. [К обсуждению в журн. «Юность» вопросов коммунистич.морали. Письма читателей]: И. Арсенюк. Заговорила совесть у Вани Пшеничного. — И.Уразов. Как поступает настоящий человек. — В. Гончаров. Гайки	Юность	1960	6	68
Арапов, Е			На туристскую тропу, друзья! Илл: Н. Воронков	Юность	1960	6	100-101
			В ореоле романтики. [О творчестве художницы Д. Нодия]	Юность	1960	6	102-103
Сафронов, В			За сутки до матча. [Заметки боксера]. Илл. автора	Юность	1960	6	104-106
Шишковский, В			Стрелы летят в мишень. [О стрельбе из лука]	Юность	1960	6	107-108
Белоусов, В			Речь на уровне. [Сатирич. рассказ]. Под ред. Л. Ленча. Илл: С. Исаев	Юность	1960	6	109-110
Аксенов, Василий			Коллеги. Повесть. Илл: Ю. Вечерский	Юность	1960	6	3-45
Грибачев, Юрий			Цена человека. [Рассказ]. Илл: В. Красновский	Юность	1960	6	53-60
Шухмин, Эдуард			Мелочь. [Рассказ]. Илл: М. Скобелев и А. Елисеев	Юность	1960	6	60-61
Курылева, Светлана			Дорога. [Рассказ]. Илл: М. Скобелев и А. Елисеев	Юность	1960	6	63-64
Анастасьев, Н			«Друг мой, Колька». [Пьеса А. Хмелика в Центр. дет. театре]	Юность	1960	6	65-67
Никитин, Валерий			Талая земля. Очерк. Илл: Г. Калиновский	Юность	1960	6	69-76
Тарасов, Станислав			Санькина победа. — Чудная. [Очерки]. Илл: Р. Вольский, В.Алексеев	Юность	1960	6	77-82
Борщевский, Л			Четвертый угол. [О производ. обучении в одиннадцатилетних школахСвердловска]	Юность	1960	6	83-66
Иванова, В			Мимо радости. [О недостатках эстетич. воспитания молодежи]. Илл: М.Скобелев и А. Елисеев	Юность	1960	6	87-89
Жигарев, А	Пипко, Д		Авиация городских улиц. [О перспективах развития. Очерк]. Илл:В. Грибко	Юность	1960	6	92-95
Ненарокомова, И			Каждую минуту — пять новых квартир. (Репортаж с выставки поградостроительству)	Юность	1960	6	96-98
Дмитриева, Н			Толе Крылову нужны звезды. [О выпускникеастрон. отд-ния Моск. гос. ун-та им. Ломоносова]	Юность	1960	6	99-100
Рыленков, Николай			«Лес шумит и звенит...» — «Не кори что стою безмолвный...»— «Утро в щебете пташечьем...» — «Скирдами огороженные, рано...» — «Вокруг тебя лесаи воды...» [Стихи]	Юность	1960	7	50
Шефнер, Вадим			Лирика. — Отпечатки на угле. — В океане. — Забытые машины.[Стихи]	Юность	1960	7	53
Раскин, А			Зеленый Звенигород. [Стихи]	Юность	1960	7	112
Кулешов, А			Там, где С. Клеменс стал Марком Твеном. [По памятным местамВирджиния-сити]	Юность	1960	7	100-102
Семашко, Н			Затаенная мечта. [Подготовка советских баскетболистов к XVIIОлимпийским играм]	Юность	1960	7	104-107
Корчной, В			А вы любите защищаться? [Заметки чемпиона СССР по шахматам]	Юность	1960	7	107-109
Катаев, Валентин			Зимний вечер. Роман. Илл: А. Шульц	Юность	1960	7	3-47
Долматовский, Евгений			Памяти матери. — «Соблюдая скучную диету...» — «Графа«родители» в анкете...» — «Где огни лучатся спектром...» — «Не всем геологами быть...»— Ах, вы устали... — [Стихи]	Юность	1960	7	48-49
Казакова, Римма			Стихи о доверии. — «Человеческий взгляд...» — «Будь сам собой.И если где живешь...» — Дни. Дворники. [Стихи]	Юность	1960	7	51-52
Аксенов, Василий			Коллеги. Повесть. Илл: Ю. Вечерский	Юность	1960	7	54-80
Каменский, А			Мужественно, проникновенно. (К 75-летию со дня рожденияхудожника С. В. Герасимова]	Юность	1960	7	81-82
Свободин, А			О раскрытом и нарисованном окне. [Заметки о программах Центр.студии телевидения]. Илл: Г. Калиновский	Юность	1960	7	83-87
Белов, Владимир			Идущие в завтра. [О коллективе завода техн. стекла. Саратов.Очерк]. Илл: А. Гурьев	Юность	1960	7	88-92
			Дорога в мир прекрасного. [Об эстетич. воспитании учащихся. Из опыта 52-й школыМосквы. Заметки]	Юность	1960	7	93-96
Коваленко, А			Необыкновенный театр. [О комсомольско-молодежном театре 67-йМоск. школы]	Юность	1960	7	97-99
Софийская, Е			Солнце в операционной. [О бестеневой лампе «Свет-15»]	Юность	1960	7	99-l00
Кучинский, Евгений			«Моя деревня нетипичная...» — «Движокоттарахтел — сеанс окончен...» — Просили девушки меня. —«Ручеек сбежал с седой вершины...» [Стихи]	Юность	1960	8	22
Храмов, Евгений			Зал ожиданий. — Пивная на окраине. Ока. [Стихи]	Юность	1960	8	23
Крутецкий, В			Петухи. Стихи	Юность	1960	8	24
Полякова, Н			Подземные моря. — Озорная.   [Стихи]	Юность	1960	8	24
Ильин, Евг			Эпиграммы:  Постоянство. — Тонкий вкус. — Наивный вопрос. Илл:  Г. Оганов	Юность	1960	8	111
Кузнецов, Анатолий			Два рассказа:  1. Девочки. — 2. Юрка, бесштанная команда. Илл:  Е. Расторгуев	Юность	1960	8	3-19
Жукова, Ольга			О подводном спорте	Юность	1960	8	102-104
Таль, Михаил			Больше стилей, хороших и разных! [Заметки чемпиона мира по шахматам]	Юность	1960	8	104-108
Войнович, В	Икрамов, К		Неподвижная личность. Фельетон. Илл:  И. Бронников	Юность	1960	8	109-111
Мориц, Юнна			Весна. — Дома. — Катеньки. — Стихи о солнце.[Стихи]	Юность	1960	8	20-21
Катаев, Валентин			Зимний ветер. Роман.   Илл:  А. Шульц	Юность	1960	8	25-69
Долматовский, Евгений			Светлая Африка. Цикл стихов:  Тамтамы. —Ответ. — Земляки. — Делегатка. — Колдун. — Лицей. —Водопад. — Плантаторы. — Советник. — Дары океана. — Разговор сминистром. — Африканцу. — Француженка. — Слоны. — Как вывелитермитов. — Пират. — Гриот. — Строят дорогу. — Снег. — ВашпервенецКумара Диалло. — Вечер самодеятельности и фольклора. — Скупщикалмазов. — Независимость. Илл:  М. Бирштейн	Юность	1960	8	70-80
Тендряков, В			Картины родились в чумах. [О работах укр. художников А. Рыбачук и В. Мельниченко]	Юность	1960	8	81-82
Рассадин, Станислав			Давайте доспорим! [Заметки о стихах советских поэтов. По материалам писем в ред.]	Юность	1960	8	83-89
Левина, А			Сам и сейчас. [О деловых качествах комсомольскогоработника. Очерк]. Илл:  А. Щербаков	Юность	1960	8	90-95
Долинина, Н			Одно мужество или два? [К вопросу о воспитаниимужества у школьников] Илл:  Р. Вольский	Юность	1960	8	96-99
Чуев, Феликс			Единство. — Брату Саше. [Стихи. С предисл. Я. Смелякова]	Юность	1960	9	56
Сухарев, Дмитрий			«Мне бы плыть на медленной байдарке...» — Царь. — Утка. —Вьетнамец на русском севере. [Стихи]	Юность	1960	9	63
Семенова, Т			Новые работы [художника] Л. Сойфертиса	Юность	1960	9	64
Вознесенский, Андрей			Последняя электричка. — В. Бокову. — Читая на стройке...[Стихи]	Юность	1960	9	71
Раскин, А			Из молодых поэтов. Лит. пародии. Илл: М. Скобелев и А. Елисеев	Юность	1960	9	109
Латов, В			У дорогих могил [о бережном отношении к могилам воинов, отдавшихжизнь в боях с гитлеровцами]	Юность	1960	9	100-101
Медынский, С			Человек идет по тундре. [О пред. колхоза «Ленинский путь» Л. Ф.Зеленской. Чукот. нац. окр.]	Юность	1960	9	101-103
Старостин, Андрей			На высоких скоростях. [Заметки о соврем. советском футболе]	Юность	1960	9	104-108
Рыбаков, Анатолий			(Приключения Кроша. Повесть. Илл: Г. Калиновский	Юность	1960	9	3-53
Антонов, Иван			Начало песни. — Материнские руки. — Антоновские яблоки. —Рассказ электромонтера. — Сосновый кряж. [Стихи. С предисл. ред.]	Юность	1960	9	54-55
Полторацкий, В			Три ключика. Рассказ. Илл: Ю. Вечерский	Юность	1960	9	57-59
Пархомов, Михаил			Резцы. Рассказ, Илл: В. Алексеев	Юность	1960	9	60-62
Блок, Георгий			Прогулка в наше завтра. [Репортаж с Выставки достижений нар.хозяйства СССР]	Юность	1960	9	66-70
Иванова, Л			Итак: совесть! [К обсуждению в журн. «Юность» вопросовкоммунистич. морали]. Обзор писем читателей	Юность	1960	9	72-77
Целмс, Наталия			О моих друзьях. [Рассказы]. Илл: В. Красновский	Юность	1960	9	78-82
Гербер, А			Пусть загораются огоньки! [О культ.-просвет. работе среди молодежи].Илл: Ю. Цишевский	Юность	1960	9	83-87
Езерский, С			Тот, кто остается... [О воспитании характера]. (Из заметок учителя).Илл: А. Тертыш и В. Беляков	Юность	1960	9	96-99
Дмитриев, Олег			Да здравствуют наши парни! [Стихи]	Юность	1960	10	42
Кашежева, И			На «ты» перейти не просто... — Тусклые окна светятся... [Стихи]	Юность	1960	10	46
Рождественский, Роберт			Пресмыкающимся. [Стихи]	Юность	1960	10	69
Погодин, Радий			Дубравка. Рассказ. Илл: И. Блиох	Юность	1960	10	2-13
Бейлин, М			Машина учится играть [в шахматы]	Юность	1960	10	111-112
Антонов, Сергей			Порожний рейс. (Из блокнота начинающего журналиста). Илл: Н. Гришин	Юность	1960	10	14-30
Блинов, Андрей			Никогда без любви. Рассказ. Илл: К. Багрова	Юность	1960	10	31-42
Матвеева, Новелла			Бобры. — Открытое письмо анониму. — В детстве. — Ночь. — Лженоваторам. — Архивист. — «Ночь по холмам непогоду гнала...» [Стихи]	Юность	1960	10	43-44
Жирмунская, Т			Бессонница. — Мой поезд. — Шаги. — «Сети кругом развешаны...» [Стихи]	Юность	1960	10	45-46
Евсеева, Светлана			Рыбачки. — Мать. — Когда степные города росли. — Весна. — Гость в Москве. — Лето. — Былина. — О красивом. — О любви. — «Ты, сегодня и потом...»— Защита. — В гостях. [Стихи]	Юность	1960	10	47-49
Гофф, Инна			Северный сон. Маленькая повесть. Илл: Е. Расторгуев	Юность	1960	10	50-67
Суворина, Е			На улицах Москвы. [Очерк]. Илл: В. Каменский	Юность	1960	10	70-73
Дорофеев, К			Верю, Алексей! [О перевоспитании несовершеннолетних правонарушителей]. Илл: Ю. Вечерский	Юность	1960	10	74-78
Замятина, А			Оноре Домье. [Франц. художник. 1808-1879]	Юность	1960	10	79-80
Черепахова, Э			Любимец публики. [Очерк]. Илл: В. Барышков	Юность	1960	10	81-85
Ненарокомова, И			Цифры и жизнь. [О работе Центр. стат. упр. при Совете Министров СССР]. Илл: П. Шорчев	Юность	1960	10	86-89
			Пословицы африканских народов. Собрал и пер. А. Акопян. Илл: М. Бирштейн	Юность	1960	10	92-93
Лот, Анри			Ожившие камни пустыни. Наскальные фрески Сахары. [Из книги франц. исследователя «К открытию фресок в Тасили». Пер. и публикация подгот. Л. Василевским и Ю. Василевским	Юность	1960	10	94-106
Симанчук, И			12000000 пар золотых рук. [К 20-летию создания системы Гос. Труд.резервов]	Юность	1960	11	103
Чернышев, Леонид			Ох, уж эти сердобольные. [Сатирич. стихи]. Илл: И. Бронников	Юность	1960	11	111
Борисенко, Виктор			Характеристика. [Сатирич. стихи]	Юность	1960	11	111
Викторов, Я			Битва за мир. [О внешней политике Советского Союза]	Юность	1960	11	3-4
Воскресенская, З			Домик на скале. Из рассказов о В. И. Ленине. Илл: В. Трубкович	Юность	1960	11	5-10
Доризо, Николай			Имя мое — человек. (Из новой книги стихов): Гимн коммунизму. — «Нев бомбы атомного века...» — Одиночество. — Баллада о кружке пива. — Море. — Балладао козе. — Из записной книжки	Юность	1960	11	11-14
