aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Братья Тур			Вдали от дома. Рассказы: Глоток воды. — «Святая Мария»	Знамя	1960	6	97-113
Стюарт, Елизавета			Раздумье. Стихи: Тишина в Подмосковье. — Подмосковные ели.— «Опасаться не нужно...» — Ветер весны	Знамя	1960	7	147-148
Гаганова, Валентина			Мои товарищи. [Заметки участницы Всeсоюз. совещанияпередовиков соревнования за звание бригад и ударников коммунистического труда]	Знамя	1960	7	149-154
Рябчиков, Евгений,			Календарь героизма. [О мужестве и самоотверженностисоветских людей]	Знамя	1960	7	155-186
Турков, А			Секреты «простого стиля». Заметки о мастерстве Твардовского	Знамя	1960	7	186-200
Огнев, Владимир			Поэзия Расула Гамзатова и горская новь	Знамя	1960	7	209-217
Громов, Н			Самобытный характер. [Об образе Павлины Хуторной в пьесе А.Софронова «Стряпуха»]	Знамя	1960	7	222-224
Василевская, Ванда			Люди. Рассказы: Слава. — Босоножки. — Мальчишка. — Ввагоне. — Чабан. — Сестра. — Каша. — Корреспондент. — Марфа. Пер. с польского: Э.Василевская	Знамя	1960	7	3-41
Татьяничева, Людмила			Лирика. [Стихи]: Космическая пыль. — Трактор напьедестале. — Поезд. — Лазурит. — «На ночь горы сдвигаются ближе...»	Знамя	1960	7	42-43
Кетлинская, Вера			Иначе жить не стоит. Роман	Знамя	1960	7	44-146
Муртазов, Борис			Отец. [Стихи]. Пер. с осет:  Т. Куренев	Знамя	1960	8	124
Гагиев, Георгий			Лучший стих.   [Стихи].    Пер. с осет: А. Николаев	Знамя	1960	8	122-123
Гулиа, Георгий			Из устных рассказов моих друзей	Знамя	1960	8	125-133
Рощин, М			Воспитание радостью. [О людях Куйбышевского подшипникового завода. Очерк]	Знамя	1960	8	134-157
Мусатов, Алексей			Двое на большом поле. [О механизаторе Н. М. Мануковском и его методе комплексной механизациивозделывания кукурузы. Ново-Усман. район Воронежской обл. Очерк]	Знамя	1960	8	158-175
Гиллер, В			Во имя жизни. [Из записок воен. врача]. Кн. 2	Знамя	1960	8	176-193
Бровман, Г			О бумажном красноречии и поисках новой формы.[Лит.-критич. заметки]	Знамя	1960	8	194-204
Стюарт, Е			Девять поэм Василия Федорова	Знамя	1960	8	205-214
Кетлинская, Вера			Иначе жить не стоит. Роман	Знамя	1960	8	3-91
Лиснянская, Инна			Летний Север. Стихи:  В ледовой разведке. —Цветы. — «Я ведь дерзкая для показа...» — На речном вокзале.— «Последний снег...»	Знамя	1960	8	92-95
Соколова, Наталия			Здравствуйте, люди! Короткие рассказы	Знамя	1960	8	96-121
Тушнова, Вероника			Девятый форт. Стихи	Знамя	1960	9	103-104
Маркуша, Анатолий			Рассказы: Счастливого вам пути! — Грубый человек	Знамя	1960	9	105-114
Аргунова, Нора			Латуня. Рассказ	Знамя	1960	9	115-118
Полторацкий, В			Зеленая ветка. Мещерские истории	Знамя	1960	9	119-160
Гиллер, В			Во имя жизни. [Из записок воен. врача]. Кн. 2	Знамя	1960	9	161-196
			Знаменательный день. [Встреча руководителей партии и правительства с представителямиинтеллигенции 17 июля 1960 г. и задачи в области литературы. Ред. статья]	Знамя	1960	9	197-200
Книпович, Е			Критические заметки	Знамя	1960	9	201-210
Гринберг, И			Преодоление пределов. [Творчество В. М. Инбер]	Знамя	1960	9	211-218
Кетлинская, Вера			Иначе жить не стоит. Роман	Знамя	1960	9	3-84
Танк, Максим			Из лирических тетрадей. Стихи: «Мы накануне полетов к звездам...» —Возвращение Шопена. — Старый мост. — «Во всем, конечно, виноват один топор...» —Скажите, мамаша, неужто ни разу...» — «Средь чистого поля сваты плутали...» Пер. сбелорус: Я. Хелемский	Знамя	1960	9	85-88
Семенов, Юлиан			Из забайкальской тетради. Рассказы: Синие цветы аге. — Рерих. —Нина, Вэвэ и я сам. — До свиданья	Знамя	1960	9	89-102
Рыльский, Максим			Неугасимая заря. Стихи. [Авториз. пер. с укр: Л. Вышеславский]	Знамя	1960	10	3
Сосюра, Владимир			Я славлю! Стихи. [Пер. с укр: Л. Вышеславский]	Знамя	1960	10	4
Забашта, Любовь			Предупреждают мертвые живых... Стихи. [Пер. с укр: С. Куняев]	Знамя	1960	10	5
Клименко, М			Руки каменотеса. Стихи. [Пер. с укр: С. Поликарпов]	Знамя	1960	10	6
Тушнова, Вероника			Саломее Нерис. Памяти литов. поэтессы. Стихи	Знамя	1960	10	66
Звереву Илья			Из лутугинских записок. [О шахтерах шахты им. Лутугина. Донбасс. Очерк]	Знамя	1960	10	102-126
Пинчуков, Е			Бдительность!	Знамя	1960	10	127-146
Юткевич, Сергей			Мы знали его таким. [К публикации в журн. «Знамя» глав из автобиогр. записок С. М. Эйзенштейна]	Знамя	1960	10	139-146
Эйзенштейн, С. М			Страницы жизни. [Главы из автобиогр. записок]	Знамя	1960	10	147-176
Сучков, Б			Исторические судьбы реализма. [Статья I]. Реальность и реализм	Знамя	1960	10	177-201
