basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Радволина, И			К друзьям в Чехословакию! [Путевыевпечатления]	Новый мир	1960	5.00	139-160
Бирюзов, С			Летопись мужества и героизма. [Омемуарах советских военачальников. Публицистич. заметки]	Новый мир	1960	5.00	161-166
Добролюбский, О			Два колоса. [К проблемамхимизации сел. хозяйства в целях повышения урожайности. Публицистич.заметки]	Новый мир	1960	5.00	167-178
			Наш Шолохов. [О романе «Поднятая целина», одноим.кинофильме и опере. Статьи]:  Жан Катала (Франция). Роман-трагедия и роман-поэма. — А. Иванов. На экране. — И. Дзержинский. Вмузыке. [С предисл. ред.]	Новый мир	1960	5.00	214-224
Синявский, А			Поэзия и проза Ольги Берггольц	Новый мир	1960	5.00	225-236
Некрасов, Виктор			Вторая ночь. Рассказ	Новый мир	1960	5.00	23-47
Кюзаджян, Л			Новый журнал советских востоковедов.[Обзор журн. «Проблемы востоковедения» № 1-5 за 1959 г.]	Новый мир	1960	5.00	266-269
			О статье профессора П. Маслова. [Отклики на статью«Давайте разберемся» (журн. «Новый мир» 1959 10) об уровнежизни трудящихся в СССР и США]:  Ю. Жернов, С. Ларин иН. Болгаров.Нам нужна такая пропаганда. — М. Маркович. То, что невходит в ведомость	Новый мир	1960	5.00	278-281
Субботин, Василий			День тысяча четыреста десятый.[Рассказы]	Новый мир	1960	5.00	49-62
Рыльский, Максим			Голосеевская осень. Стихи:  Лес,повитый серебристой дымкой... — Есть такие строки. — Как забыть... —«Почернели заводи в озерах...» — Мы  сидели  в Гданьске... —«Ночь,и ветер вербы   нагибает...» — «Комната во мраке утопает...»—Коль идешь ты... — «Сердце верит иногда приметам..» —«Полстолетья — как мгновенье...» [Пер. с укр:  А. Сурков; М.Комиссарова. Спредисл. Л. Новиченко]	Новый мир	1960	5.00	63-68
Липатов, В			Глухая Мята. Повесть	Новый мир	1960	5.00	69-98
Максимович, Десанка			Стихи разных лет:  Я — родина.Я — здесь. — Песня о порабощенном хлебе. — Религияопечаленных. — «Когда промчится ваша юность, птицы...» — Детская косичкав Освенциме. — Снега детства. [Пер. с сербохорват:  Б.Слуцкий; М.Ваксмахер; М. Алигер]	Новый мир	1960	5.00	99-104
Турсун-заде, Мирзо			Горная река. Стихи. Пер. с таджик: С. Липкин	Новый мир	1960	6.00	3
Ваншенкин, Константин			Соловьиный коридор. Стихи	Новый мир	1960	6.00	51
Бровка, Петрусь			Далеко от дома. Стихи:  «Сызмальства помню:  на зорьке студеной...» —  Военный оркестр на Бродвее. —Тропинка под Нью-Йорком. — В час раздумья. — Корабли на реке Гудзон. — «Зеленый клен шумел над нами...» — Как мы разговаривали со скворцом. Авториз. пер. с белорус:  Я. Хелемский	Новый мир	1960	6.00	4-11
Фиксин, Сергей			Красные мячи. — Зеленый базар.  [Стихи]	Новый мир	1960	6.00	117-118
Шнурре, Вольфдитрих			Маневры. Рассказ. Пер. с нем: В. Тиханова	Новый мир	1960	6.00	119-123
Меттер, И			Мурат. Повесть	Новый мир	1960	6.00	12-48
Фрост, Роберт			Березы. — Наша певческая мощь. — Перепись населения. — Последний индеец. — Весенние озера. — Онеобходимости знать толк в деревенских делах. — Указание. [Стихи америк. поэта]. Пер. с англ:  А. Сергеев	Новый мир	1960	6.00	124-130
Свердлова (Новгородцева), К. Т			Яков Михайлович Свердлов. [Фрагменты из 2-го изд. книги воспоминаний]	Новый мир	1960	6.00	131-139
Галлай, М			Через невидимые барьеры. Из записок летчика-испытателя	Новый мир	1960	6.00	140-163
Кин, Цецилия			Черная тень над Италией. Заметки о католич. культуре	Новый мир	1960	6.00	164-175
Хромушин, Г			«Экономический гуманизм» и его природа	Новый мир	1960	6.00	176-185
Ласкавая, Л			Земля и ветер. [О борьбе с ветровой эрозией в Сев. Казахстане. Очерк]	Новый мир	1960	6.00	186-200
Красивский, С			Успехи автоматизации	Новый мир	1960	6.00	201-208
Виноградов, И			Во имя живых. [О романе К. Симонова «Живые и мертвые»]	Новый мир	1960	6.00	209-223
			О научно-художественной литературе.   [Обсуждение статьи Д. Данина «Жажда ясности» в журн. «Новый мир» 1960 3, Статьи]: А. Шаров. Жизнь, насильно разъятая. — Я. Смородинский. Разные пути. — От редакции	Новый мир	1960	6.00	224-231
Рюриков, Б. Н			Г. Чернышевский как личность и характер	Новый мир	1960	6.00	232-244
Стеллиферовская, Е			Образ вождя живет в сердцах. [К выходу в свет 3-й части сборника «Воспоминания о Владимире ИльичеЛенине»]	Новый мир	1960	6.00	266-268
Луконин, Мих			В поисках нежного человека. Стихи	Новый мир	1960	6.00	49-50
Липатов, В			Глухая Мята. Повесть	Новый мир	1960	6.00	52-116
Тушнова, В			В марте. Стихи	Новый мир	1960	7.00	111
Незвал, Витезслав			Стихи разных лет: Прага с пальцами дождя. — Неизвестная сСены. — «Ах, жаль! Все больше год от года...» [Пер. с чешского: В. Николаев; М.Кудинов]	Новый мир	1960	7.00	105-108
Рошка, Валентин			Осенние дубравы... Стихи: «Тоска по лесу испокон веков...» —Звонят колокола... — «Я пить просил...» Пер. с молдав: Ю. Левитанский	Новый мир	1960	7.00	109-110
