contribution_title	aut_id	aut_viaf	aut_lastn_r	aut_firstn_r	aut_lastn_e	aut_firstn_e	journal	year	issue	start_page	end_page	pagetotal
Маленькие рассказы: Нашабиография. — Первый комсорг. — Ноги. — Кедровые орешки.— Папиросы. —Рабочая порция. Илл: И. Блиоха	56640356	56640356	Приставкин	А	Pristavkin	A	Молодая гвардия	1960	2	41	45	5
Река, река таежная. Повесть. Илл: Н.Гордейчик	15775609	15775609	Пришвин	Андрей	Prishvin	Andrei	Молодая гвардия	1960	2	46	93	48
Ударная стройка. — Комсомольскаядомна. — «Ни о чем не печалься...» — Обыкновенный подвиг.[Стихи]	741		Харабаров	Иван	Kharabarov	Ivan	Молодая гвардия	1960	2	94	95	2
Омут. Повесть. Илл: Е. Бачурин и О.Целков	592		Полухин	Юрий	Polukhin	Iurii	Молодая гвардия	1960	2	97	149	53
Тартюф-59. Пьеса в 4 д. Пер. с турец: А.Бабаев. Илл: Е. Бачурин и О. Целков	95267715	95267715	Назым	Хикмет	Nazym	Khikmet	Молодая гвардия	1960	2	150	195	46
Москва — Нью-Йорк — Москва.[О поездке Н. С. Хрущева в США. Статья итал. журналиста].Пер. ситал	20481538	20481538	Феррара	Маурицио	Ferrara	Mauritsio	Молодая гвардия	1960	2	196	211	16
Регби — «зеленую улицу»	584		Пинчук	А	Pinchuk	A	Молодая гвардия	1960	2	212	214	3
Гуманизм без веры в будущее. [Отворчестве нем. писателя Э. М. Ремарка]	329		Дмитриев	А	Dmitriev	A	Молодая гвардия	1960	2	215	223	9
На доброе дело. [Стихи]	7.41E+19	7.41E+19	Ковалев	Дмитрий	Kovalev	Dmitrii	Молодая гвардия	1960	3	2	2	
Рабочий. Стихи	116118733	116118733	Волобуева	И	Volobueva	I	Молодая гвардия	1960	3	10	10	
«С чувством гордости всех извещаем...» Стихи	13241737	13241737	Жаров	Александр	Zharov	Aleksandr	Молодая гвардия	1960	3	11	11	
Слово друга. [О развитии всемирногодвижения сторонниковмира. Беседа с П. Робсоном]	611		Робсон	Поль	Robson	Pol'	Молодая гвардия	1960	3	12	15	4
Сюитай. Поэма. Авториз. пер. скиргиз: В.Фирсов.Илл: И Незнайкин	518		Молдокматов	Абдыкалый	Moldokmatov	Abdykalyi	Молодая гвардия	1960	3	16	26	11
Река, река таежная. Повесть. Илл: Н.Гордейчик	15775609	15775609	Пришвин	А	Prishvin	A	Молодая гвардия	1960	3	27	86	790
Утро. — Птицу трудноруками поймать...—«В атомное проникли мы ядро...» — «Я разгульные травыкосил...»[Стихи]	595		Поперечный	Анатолий	Poperechnyi	Anatolii	Молодая гвардия	1960	3	87	88	2
Антонина Лукина. Рассказ. Илл: Е. Бачурин и О. Целкоз	508		Мигунова	М	Migunova	M	Молодая гвардия	1960	3	89	131	43
Камчатские стихи. Коровы переходят океан. — Земля командора. — Красная рыба. — «От изб, гдепахнет рыбой вяленой...» — «Я не знаю, рыжим или русым...» — Вдолине каменных берез. Илл: Е. Акишин	301		Гордиенко	Юрий	Gordienko	Iurii	Молодая гвардия	1960	3	132	136	5
Уравнения Максвелла. Науч.-фантастич. повесть. Илл: Е.Акишин	85726602	85726602	Днепров	А	Dneprov	A	Молодая гвардия	1960	3	137	168	32
Суд идет! Записки нар. заседателя	298		Голышев	Н	Golyshev	N	Молодая гвардия	1960	3	169	185	17
Страшнее всего — тишина. [Запискисекретаря райкома комсомола. Грязовецкий район Вологод. обл.]	109315473	109315473	Белов	Василий	Belov	Vasilii	Молодая гвардия	1960	3	186	198	13
Раздумье над полем боя. [О лит.произведениях,посвящ.Великой Отечеств, войне]	708		Токарев	Константин	Tokarev	Konstantin	Молодая гвардия	1960	3	202	214	
Что же дальше, Джим Диксон? [О произведениях англ. писателей из числа «рассерженной молодежи»]	619		Рубин	Вл	Rubin	Vl	Молодая гвардия	1960	3	215	221	7
Пора зрелого вдохновения. [О творчестве поэта Вл. Соколова]	509		Мильков	Вл	Mil'kov	Vl	Молодая гвардия	1960	3	222	226	5
Всегда великий. К 90-летию со дня рождения В. И. Ленина	272		Волкова	В	Volkova	V	Молодая гвардия	1960	4	5	16	12
Ленинские строки Стихи	188		Агеев	Николай	Ageev	Nikolai	Молодая гвардия	1960	4	17	17	
Третья заповедь. [Повесть]	721		Успенская	Елена	Uspenskaia	Elena	Молодая гвардия	1960	4	18	46	29
Наедине. Стихи	7.41E+19	7.41E+19	Ковалев	Дмитрий	Kovalev	Dmitrii	Молодая гвардия	1960	4	48	48	
Высшее человеческое достоинство. [Об успехах бригады комму ни ста ч. труда Н. Папанова. 2-й Моск. часовой завод. Очерк]	622		Русакова	Л	Rusakova	L	Молодая гвардия	1960	4	49	56	8
Весна. Стихи	215		Бакалдин	Виталий	Bakaldin	Vitalii	Молодая гвардия	1960	4	57	57	
У горы Непокоряой. Повесть. Илл: Н. Гордейчик	115868922	115868922	Лаптев	Юрий	Laptev	Iurii	Молодая гвардия	1960	4	63	196	134
Тверской бульвар, 25. Поэма. Пер. с греч: С.Северцев. Илл: В. Савостьянов	37091580	37091580	Парнис	Алексис	Parnis	Aleksis	Молодая гвардия	1960	4	197	213	17
Ленин в жизни Маяковского	423		Котов	Владимир	Kotov	Vladimir	Молодая гвардия	1960	4	213	226	14
Рассказы: Сила воображения. — Выше любви	264439334	264439334	Коваленков	А	Kovalenkov	A	Молодая гвардия	1960	4	214	217	4
Школьный учитель Маяковского. [О проф. Пятигор. пед.ин-та В. А. Васильеве]	664		Соболев	Ал	Sobolev	Al	Молодая гвардия	1960	4	227	229	3
Время больших людей. [Образ современника в советской худож. литературе]	27484682	27484682	Баскаков	Вл	Baskakov	Vl	Молодая гвардия	1960	4	232	240	9
Спор на зеленом поле. [К открытиюфутбольного сезона 1960 г.]	182641247	182641247	Бобров	Всеволод	Bobrov	Vsevolod	Молодая гвардия	1960	4	248	252	5
Дуб. [Стихи]	18614825	18614825	Волков	Валентин	Volkov	Valentin	Молодая гвардия	1960	5	6		
Дорога. Рассказ	535		Музыря	Александра	Muzyria	Aleksandra	Молодая гвардия	1960	5	6	7	2
Неопознанный лейтенант. [Стихи]	430		Криванчиков	Николай	Krivanchikov	Nikolai	Молодая гвардия	1960	5	7	7	
Прометей № 319. Рассказ	5.56E+07	5.56E+07	Знаменский	Анатолий	Znamenskii	Anatolii	Молодая гвардия	1960	5	10	23	14
Счастье рядом с тобой. Повесть. Илл: М. Рудаков	417		Козловская	Мария	Kozlovskaia	Mariia	Молодая гвардия	1960	5	24	88	65
Рассказы: Мужчины. — Осень, осень... — Мой знакомый леший	10779305	10779305	Никитин	Сергей	Nikitin	Sergei	Молодая гвардия	1960	5	89	95	7
Весенняя перекличка поэтов. [К публикации в журн. «Молодаягвардия» подборки стихов советских поэтов]	1387819	1387819	Федоров	Василий	Fedorov	Vasilii	Молодая гвардия	1960	5	96	110	15
Земля... земля... [Стихи]	35760483	35760483	Фирсов	Владимир	Firsov	Vladimir	Молодая гвардия	1960	5	96	97	2
Я начал замечать... [Стихи]	450		Кулемин	Василий	Kulemin	Vasilii	Молодая гвардия	1960	5	97	97	
Большое и малое. [Стихи]	58051538	58051538	Смирнов	Сергей	Smirnov	Sergei	Молодая гвардия	1960	5	98	98	
Нам постигать иные миры... [Стихи]	25401426	25401426	Яшин	Александр	Iashin	Aleksandr	Молодая гвардия	1960	5	99	99	
Скоростница [Стихи]	424113	424113	Боков	Виктор	Bokov	Viktor	Молодая гвардия	1960	5	100	100	
Пустота. [Стихи]	109617752	109617752	Мартынов	Леонид	Martynov	Leonid	Молодая гвардия	1960	5	100	101	2
Глухарь. [Стихи]	364		Журавлев	Василий	Zhuravlev	Vasilii	Молодая гвардия	1960	5	101	102	2
За Изюмским бугром. [Стихи]	85351028	85351028	Соснора	В	Sosnora	V	Молодая гвардия	1960	5	102	103	2
Время. [Стихи]	7.41E+19	7.41E+19	Ковалев	Дмитрий	Kovalev	Dmitrii	Молодая гвардия	1960	5	103	103	
Автопортрет. [Стихи]	2.94E+02		Годенко	Михаил	Godenko	Mikhail	Молодая гвардия	1960	5	104	104	
«Ехали парни да ухали, охали...» [Стихи]	659		Смирнов	Дмитрий	Smirnov	Dmitrii	Молодая гвардия	1960	5	104	105	2
На плотах. [Стихи]	112228766	112228766	Вознесенский	Андрей	Voznesenskii	Andrei	Молодая гвардия	1960	5	105	106	2
«Мы спорим иногда устало...» [Стихи]	106977576	106977576	Винокуров	Евгений	Vinokurov	Evgenii	Молодая гвардия	1960	5	106	106	
Суздаль. [Стихи]	84400852	84400852	Полторацкий	Виктор	Poltoratskii	Viktor	Молодая гвардия	1960	5	107	108	2
Настоящая любовь. [Стихи]	408		Кобзев	Игорь	Kobzev	Igor'	Молодая гвардия	1960	5	107	107	
Отец. [Стихи]	227		Беляков	Владимир	Beliakov	Vladimir	Молодая гвардия	1960	5	108	109	2
Рабочие рукавицы. [Стихи]	502		Медведев	Феликс	Medvedev	Feliks	Молодая гвардия	1960	5	109	109	
Разум. [Стихи]	13724302	13724302	Марков	Алексей	Markov	Aleksei	Молодая гвардия	1960	5	110	110	
Болотные огни. Приключенческая повесть	74261973	74261973	Чайковская	Ольга	Chaikovskaia	Ol'ga	Молодая гвардия	1960	5	111	134	24
Это принадлежит истории. [О последних днях Великой Отечеств.войны. Очерк]	57917661	57917661	Медников	Анатолий	Mednikov	Anatolii	Молодая гвардия	1960	5	135	140	6
Мой Акбар. [Главы из книги дрессировщицы служебных собак. Спредисл. А. Гитовича]	560		Острецова	Лидия	Ostretsova	Lidiia	Молодая гвардия	1960	5	141	160	20
Конец ляпинской династии. [К вопросу о перевоспитании преступников].Заметки писателя	586		Поваго	Ф	Povago	F	Молодая гвардия	1960	5	184	201	18
Пятиборье XX века	374		Зильберборт	Анатолий	Zil'berbort	Anatolii	Молодая гвардия	1960	5	202	206	5
Джигитовка с рубкой лозы. По поводу некоторых выступлений «Лит. газеты»о произведениях молодых писателей	267		Власенко	А	Vlasenko	A	Молодая гвардия	1960	5	207	209	3
О чувстве полета и силах, сковывающих крылья. [Заметки о соврем.советской поэзии]	115274430	115274430	Елкин	Анатолий	Elkin	Anatolii	Молодая гвардия	1960	5	210	216	7
Над страницами «Молодой гвардии» А. Фадеева	165381845	165381845	Апухтина	В	Apukhtina	V	Молодая гвардия	1960	5	217	223	7
Троллейбусная литература. [О недостатках приключенческойлитературы]	216		Балашихин	В	Balashikhin	V	Молодая гвардия	1960	5	224	224	
Вы только одни... — Угадай-ка! [Лит. пародии]	58051538	58051538	Смирнов	Сергей	Smirnov	Sergei	Молодая гвардия	1960	5	226	227	2
Выговор. Рассказ. Илл: Е. Васильев	240426922	240426922	Сбитнев	Юрий	Sbitnev	Iurii	Молодая гвардия	1960	6	8	9	2
Санька. Рассказ. Илл: М. Рудаков	279		Гагарин	И	Gagarin	I	Молодая гвардия	1960	6	10	17	8
Унесут меня гуси-лебеди... — В Кара-Кумах.-Аксинья. — «Сновадышу я ромашковым летом...» [Стихи]	693		Сухов	Федор	Sukhov	Fedor	Молодая гвардия	1960	6	18	21	4
Поэзия Александра Твардовского. К 50-летию со днярождения	22940804	22940804	Рыленков	Николай	Rylenkov	Nikolai	Молодая гвардия	1960	6	22	24	3
Парни твоих лет. Повесть. Илл: Е. Бачурин	49632319	49632319	Герасимов	Иосиф	Gerasimov	Iosif	Молодая гвардия	1960	6	25	100	76
Залив. — Земля. — «Я тяготел всегда к скульптуре...» — Сапер.— Гроза. — Стальной батальон. [Стихи]	432		Кривошеенко	Лев	Krivosheenko	Lev	Молодая гвардия	1960	6	53	53	
Я видел Индию. [Стихи]: Закат над Гималаями. — Экзотика.Илл. автора	300		Гончаров	Виктор	Goncharov	Viktor	Молодая гвардия	1960	6	102	103	2
Тюльпаны. — Родник. Рассказы	454		Кучеренко	Иван	Kucherenko	Ivan	Молодая гвардия	1960	6	104	105	2
Болотные огни. Приключенческая повесть	7.43E+07	7.43E+07	Чайковская	Ольга	Chaikovskaia	Ol'ga	Молодая гвардия	1960	6	142	183	42
Молодежь нового мира. [Америк. писатель о советской молодежи].Пер. с англ	393		Кан	Альберт	Kan	Al'bert	Молодая гвардия	1960	6	184	187	4
Обыкновенные парни. [Очерк]. Илл: В. Савостьянов	295		Головин	Г	Golovin	G	Молодая гвардия	1960	6	188	197	10
Первая страница. [О нац.-освободит. борьбе кубин. народа.Статья кубин. журналиста]. Пер. с испан	497		Мартин	Луис Мас	Martin	Luis Mas	Молодая гвардия	1960	6	198	213	16
Народ и прекрасное. [Задачи эстетич. воспитания]	80954954	80954954	Томский	Н	Tomskii	N	Молодая гвардия	1960	6	214	221	8
«Отец Николая Островского». [О старом большевике Х.П. Чернокозове, упоминаемом в книге Н. А. Островского «Как закалялась сталь»]	255		Васильев	Б	Vasil'ev	B	Молодая гвардия	1960	6	226	229	1
На трибуну входит жизнь. Заметки лектора	485		Макарова	Н	Makarova	N	Молодая гвардия	1960	7	3	22	20
Судьба родословной. — За Советскую власть. — Новые дороги. —Наступленье дня. — На попутной машине. — Дождь. — Бабье лето. — В детстве. [Стихи]	35760483	35760483	Фирсов	Вл	Firsov	Vl	Молодая гвардия	1960	7	23	25	3
На то она и любовь... Повесть	476		Логинов	Виктор	Loginov	Viktor	Молодая гвардия	1960	7	26	101	76
«РРТ-454». Рассказы: Сковорода. — Два мушкетера. —Сосисочный фарш. — Мене, текел-фарес. Илл: Е. Бачурин	109392503	109392503	Семенов	Юлиан	Semenov	Iulian	Молодая гвардия	1960	7	102	114	13
«Я не боюсь работы...» — «Я землю люблю, от березок рябую...» —«Тропинки неторопливые...» — «Вилами цепляя облака...» [Стихи]	23588216	23588216	Озерова	Ирина	Ozerova	Irina	Молодая гвардия	1960	7	115	115	
«Сдвинув брови, твердыми шагами...» — «Хоть я не зол, но помнитья умею...» [Стихи]	112275518	112275518	Асадов	Эдуард	Asadov	Eduard	Молодая гвардия	1960	7	116	116	
Настя. Рассказ	111455338	111455338	Воробьев	Константин	Vorob'ev	Konstantin	Молодая гвардия	1960	7	117	119	3
Болотные огни. Приключенческая повесть	74261973	74261973	Чайковская	Ольга	Chaikovskaia	Ol'ga	Молодая гвардия	1960	7	124	192	69
О телевизорах, Сизифе и рабочей чести. [Заметки о качестве пром.продукции]	266		Владимиров	Л	Vladimirov	L	Молодая гвардия	1960	7	193	206	14
«Это все мне родное и близкое...» О С. Есенине. Лит. ред. А.А. Коваленкова	39493607	39493607	Есенина	Александра	Esenina	Aleksandra	Молодая гвардия	1960	7	207	220	14
Поэтическое поколение эпохи спутников. [О творчестве молодыхпоэтов]	32234655	32234655	Выходцев	П	Vykhodtsev	P	Молодая гвардия	1960	7	221	231	11
И первым гибнет Герострат. — Есть сказка еще впереди. — До звезд! — Перед дорогой. [Стихи]	110294635	110294635	Дудин	Михаил	Dudin	Mikhail	Молодая гвардия	1960	8	3	5	3
Солдат, сын солдата. Повесть. Илл: М. Рудаков	727		Фейгин	Эммануил	Feigin	Emmanuil	Молодая гвардия	1960	8	6	119	
Севастопольские рассказы: Щекотливое дело. — Хозяйки. — Неуважительная причина. — Тайна старого крейсера. — Улыбка. — Цепная реакция. — Страшнее милиции. — Свергнутая. —Смелая должность. — Подарок. — Граждане Севастополя. — Вишня. —Розы и море	321		Давидьянц	А	David'iants	A	Молодая гвардия	1960	8	8		19
«От всех скорбей и дум печальных...» — «Жизнь летит...» — Встреча. [Стихи]	9.31E+19	9.31E+19	Тряпкин	Николай	Triapkin	Nikolai	Молодая гвардия	1960	8	120	121	2
Дочь Луны. Рассказ. Илл: Ю. Копейко	59225949	59225949	Пермяк	Евгений	Permiak	Evgenii	Молодая гвардия	1960	8	122	134	13
Парень со стройки. Рассказ	186		Абрамов	И	Abramov	I	Молодая гвардия	1960	8	135	139	5
Короткие рассказы: Бука. — Случайная встреча. — Ситчик. Илл: Е. Бачурин	240426922	240426922	Сбитнев	Юрий	Sbitnev	Iurii	Молодая гвардия	1960	8	140	146	7
Школа будущего. [Из практики воспитат. работы в интернате № 26. Москва]	670		Соловьева	Ариадна	Solov'eva	Ariadna	Молодая гвардия	1960	8	176	184	9
Веник или голик? [О некоторых лит.-критич. выступлениях«Лит. газеты»]	47815810	47815810	Бушин	В	Bushin	V	Молодая гвардия	1960	8	187	197	11
Депутат Брянщины. [О писателе Н. М. Грибачеве]	383		Ильин	Василий	Il'in	Vasilii	Молодая гвардия	1960	8	198	205	8
«Это все мне родное и близкое». О С. Есенине. [Воспоминания]. Лит. редакция А. А. Коваленкова	39493607	39493607	Есенина	Александра	Esenina	Aleksandra	Молодая гвардия	1960	8	206	221	16
Все дороги ведут в Рим. [К предстоящим XVII Олимпийским играм]	374		Зильберборт	А	Zil'berbort	A	Молодая гвардия	1960	8	222	227	6
Когда плачет жемчуг. [О выращивании искусств.жемчуга в Японии]	731		Филатов	Артур	Filatov	Artur	Молодая гвардия	1960	8	228	230	3
Твой след на земле. Роман. Илл: М. Рудаков	8699877	8699877	Пальман	Вячеслав	Pal'man	Viacheslav	Молодая гвардия	1960	9	3	107	105
Праздник в Путиле. — Дым. — Горянка. — Карпатский мед. —Плотогон. — Трембита. [Стихи]	465		Левушкин	Анатолий	Levushkin	Anatolii	Молодая гвардия	1960	9	11	11	
Из цикла «Мой синий край». [Стихи]: Земляку. — Рыбак. — Зимнийстан. — «Апрель московский занемог...» — «Костры июльского рассвета...» — Пустьговорят, воды немало...»	767		Шаховский	Борис	Shakhovskii	Boris	Молодая гвардия	1960	9	36	39	4
Утро. Стихи. Пер. с осет: В. Тушнова	390		Кайтуков	Г	Kaitukov	G	Молодая гвардия	1960	9	99	99	
Желание. Стихи. Пер. с осет: В. Тушнова	752		Цириков	М	Tsirikov	M	Молодая гвардия	1960	9	101	101	
Родина. Стихи. Пер. с осет: А. Николаев	4.05E+20	4.05E+20	Гагиев	Г	Gagiev	G	Молодая гвардия	1960	9	103	103	
Рыба-солнце. Поэма. Илл: С. Еременко	595		Поперечный	Анатолий	Poperechnyi	Anatolii	Молодая гвардия	1960	9	108	112	5
Солнце Ленинграда. — Железные книги. — Весеннее. [Стихи]	197		Андреев	Александр	Andreev	Aleksandr	Молодая гвардия	1960	9	112	114	3
«Там, за Коломной, мир огромный...» — «Пусть радость, как солнце,упрямая...» — Рязань. — «Все, знакомо и все так ново...» [Стихи]	39491342	39491342	Шошин	Владислав	Shoshin	Vladislav	Молодая гвардия	1960	9	115	116	2
Сима, Сима. — У Вороньего камня. —Июль. [Стихи]	45832209	45832209	Григорьев	Игорь	Grigor'ev	Igor'	Молодая гвардия	1960	9	116	118	3
Звездопад. Повесть	108234445	108234445	Астафьев	В	Astaf'ev	V	Молодая гвардия	1960	9	119	143	25
Комфорт и бессилие. [Об америк. образе жизни. Статья итал.журналиста]. Пер. с итал	20481538	20481538	Феррара	Маурицио	Ferrara	Mauritsio	Молодая гвардия	1960	9	147	156	10
Обретенное имя. Рассказ	6543850	6543850	Гуляковский	Евгений	Guliakovskii	Evgenii	Молодая гвардия	1960	9	157	159	3
Однажды в воскресенье. Рассказ	454		Кучеренко	Иван	Kucherenko	Ivan	Молодая гвардия	1960	9	160	166	7
Пусть и тебя назовут товарищем... [К вопросу о перевоспитанииправонарушителей. Ответ на письма заключенных в связи с повестью автора«Комсомольский патруль», опублик. в журн. «Молодая гвардия» 1958 2].	316		Грудинин	Олег	Grudinin	Oleg	Молодая гвардия	1960	9	167	172	6
Любовь на душу населения. [Проблемы культуры и быта советскоймолодежи. Очерк]	675		Спицын	Вадим	Spitsyn	Vadim	Молодая гвардия	1960	9	173	181	9
Аракуш. К 90-летию со дня рождения С. Н. Сергеева-Ценского	577		Пермитин	Ефим	Permitin	Efim	Молодая гвардия	1960	9	182	189	8
Потомки. «голого короля». Заметки об «ультрасовременном искусстве»	27567463	27567463	Немцов	Вл	Nemtsov	Vl	Молодая гвардия	1960	9	190	194	5
Советский характер. [Лит.-критич. заметки]	772		Шкерин	Михаил	Shkerin	Mikhail	Молодая гвардия	1960	9	195	206	12
Надежна ли вещь, сработанная тобой? [О качестве пром. продукции]	462		Лебедев	А	Lebedev	A	Молодая гвардия	1960	9	207	210	4
Молодые алтайские рассказчики	78827096	78827096	Огнев	Александр	Ognev	Aleksandr	Молодая гвардия	1960	9	219	221	3
Дорога к высотам. Заметки об осет. прозе	206		Ардасенов	Х	Ardasenov	Kh	Молодая гвардия	1960	9	227	230	4
Школа новой жизни. Ленинские заветы молодежи и заповедикоммунистич. бригад	257		Везиров	А	Vezirov	A	Молодая гвардия	1960	10	3	10	8
В пути. Стихи	228262359	228262359	Гоц	Геннадий	Gots	Gennadii	Молодая гвардия	1960	10	11	11	
Последний удар. Роман. Илл: Е. Васильев	79517732	79517732	Падерин	Иван	Paderin	Ivan	Молодая гвардия	1960	10	12	62	51
Сталинградская легенда. Стихи	466		Ленцов	Владимир	Lentsov	Vladimir	Молодая гвардия	1960	10	63	63	
Северные стихи: Красавица Двина. — Половики. — Осень. —Девка-черт. — Холмогорские парни. — Лесная глубинка. — Соловьи Шалакуши. —Девчонка холмогорочка	236032150	236032150	Леонтьев	Николай	Leont'ev	Nikolai	Молодая гвардия	1960	10	64	68	
Твой след на земле. Роман. Илл: М. Рудаков	8699877	8699877	Пальман	Вячеслав	Pal'man	Viacheslav	Молодая гвардия	1960	10	69	158	90
Быки моста. — Дележ. [Стихи]. Пер. с литов: Б. Слуцкий	116003044	116003044	Балтакис	Альгимантас	Baltakis	Al'gimantas	Молодая гвардия	1960	10	123	123	
Люблю я жизни быстрину. — Над морем. — Путь ракеты.[Стихи]	69825389	69825389	Павлычко	Дмитро	Pavlychko	Dmitro	Молодая гвардия	1960	10	124	125	2
Бильбао. — Поэтика. — Вот голос мой. — «На кухне спитдевчушка...» [Стихи. Пер. с испан: А. Гелескул; В. Семернин;Ю. Полухин]	561		Отеро	Блас де	Otero	Blas de	Молодая гвардия	1960	10	160	160	3
Письмо миру. [Стихи. Пер. с испан: А. Гелескул]	193		Ана	Маркос	Ana	Markos	Молодая гвардия	1960	10	162	162	
Колыбельная нищих. [Стихи. Пер. с испан: А. Гелескул]	427		Кремер	Викториано	Kremer	Viktoriano	Молодая гвардия	1960	10	163	163	
Рехино. [Стихи. Пер. с испан: А. Гелескул]	739		Фуэртес	Глория	Fuertes	Gloriia	Молодая гвардия	1960	10	163	163	
Провозглашение надежды. [Стихи. Пер. с испан: Ю.Полухин]	284		Гарсиасоль	Рамон де	Garsiasol'	Ramon de	Молодая гвардия	1960	10	164	164	
Молодость древнего Ярославля. [Очерк]	543		Назарова	И	Nazarova	I	Молодая гвардия	1960	10	165	171	7
Кривизна. [Очерк]	55598808	55598808	Знаменский	Анатолий	Znamenskii	Anatolii	Молодая гвардия	1960	10	172	182	11
Идут дожди	412		Коваленко	Г	Kovalenko	G	Молодая гвардия	1960	10	183	192	10
Еще одна американская диверсия. [Об использовании америк.разведкой сектантов-иеговистов в целях организации антисоветской пропаганды]	311423625	311423625	Ильин	Виктор	Il'in	Viktor	Молодая гвардия	1960	10	193	206	14
Море не исчезнет. [О проектах регулирования уровня Касп. моря]	260		Ветлугин	Вл	Vetlugin	Vl	Молодая гвардия	1960	10	207	209	3
В борьбе за коллективного человека. [О пед. наследии А. С.Макаренко]	2585278	2585278	Григорьев	В	Grigor'ev	V	Молодая гвардия	1960	10	210	217	8
Андрей Рублев. [К 600-летию со дня рождения художника]	62091581	62091581	Глазунов	Илья	Glazunov	Il'ia	Молодая гвардия	1960	10	218	219	2
Великому народу — великое будущее. О письмах художника Н. К.Рериха	250		Булгаков	Вал	Bulgakov	Val	Молодая гвардия	1960	10	220	228	9
Флаг. Новелла	2048		Владимов	Михаил	Vladimov	Mikhail	Молодая гвардия	1961	2	3	4	2
Вишневый сад. Рассказ. Пер. с укр: Б. Слуцкий	9012		Чабанивский	Михаил			Молодая гвардия	1961	2	5	6	2
Наш характер. [Стихи]: Память. — Доброе утро. — Фронтовик.— Характер. — Семья. — «Все мимо проезжаю...» — Зацветает рожь. — «Белесый луг стравою по колени...» — «И день...» — Студеная заря	74144648400756216811	74144648400756216811	Ковалев	Дмитрий	Kovalev	Dmitrii	Молодая гвардия	1961	2	7	13	7
Усинский тракт. Повесть	6063		Осипов	Валерий	Osipov	Valerii	Молодая гвардия	1961	2	14	43	30
Гибель поэта. Драма в 4 актах и 10 карт	22417211	22417211	Соловьев	Владимир	Solov'ev	Vladimir	Молодая гвардия	1961	2	45	131	87
Поросли окопы травой... Рассказ	108234445	108234445	Астафьев	В	Astaf'ev	V	Молодая гвардия	1961	2	132	135	4
16 часов. [О подвиге экипажа танка под командованием лейт. П. Н. Ракаво время Великой Отечеств. войны]. Быль	6045		Никольский	Ник	Nikol'skii	Nik	Молодая гвардия	1961	2	136	173	38
Имени Октябрьской революции. [О Бакин. вагоностроит. заводе. Очерк]	240426922	240426922	Сбитнев	Ю	Sbitnev	Iu	Молодая гвардия	1961	2	174	177	4
Ответ защитнику абстрактного искусства. [В связи с письмом В. Антонова поповоду статьи автора «Потомки голого короля» в журн. «Молодая гвардия» 1960 9, Сприл. текста письма]	27567463	27567463	Немцов	Вл	Nemtsov	Vl	Молодая гвардия	1961	2	210	214	5
Василий Теркин на Луне. [Пародия]	32795711	32795711	Глазков	Николай	Glazkov	Nikolai	Молодая гвардия	1961	2	238		1
Незабытая песня. Поэма	693		Сухов	Федор	Sukhov	Fedor	Молодая гвардия	1961	3	77	92	16
Письмо. Стихи	27184750	27184750	Прокофьев	Александр	Prokof'ev	Aleksandr	Молодая гвардия	1961	3	93	93	1
Не уставай, Турсуной! [О Герое Соц. Труда,  механике-водителехлопкоуборочной машины Т. Ахуновой. Колхоз им. Кирова. Чиназский район Ташк. обл.]Докум. повесть	9082		Сафаров	Назир	Safarov	Nazir	Молодая гвардия	1961	3	170	188	19
Люди Целинного края. [Очерк]	321		Давидьянц	А	David'iants	A	Молодая гвардия	1961	3	172	179	8
Свет полярной ночи. [Отрывок из книги «Норильские встречи»]	7161		Семушкин	Тихон	Semushkin	Tikhon	Молодая гвардия	1961	3	189	194	6
Наши земляки. [О людях Сибири. Очерки]	3022		Деменчук	Геннадий	Demenchuk	Gennadii	Молодая гвардия	1961	3	195	201	7
Объединение крылатых борцов. [Из опыта работы совета обществ,конструкторских бюро Уралмашзавода]	9064		Давыдов	Л	Davydov	L	Молодая гвардия	1961	3	202	210	9
Не ?холодная война?, а война с холодом. [О проектах измененияклимата Земли]	206168898	206168898	Емцев	М	Emtsev	M	Молодая гвардия	1961	3	211	217	7
С открытым сердцем... [О творчестве поэтессы О. Берггольц]	6124		Пухов	Ю	Pukhov	Iu	Молодая гвардия	1961	3	218	220	3
Огорчения на водных дорожках. [О недостатках ворганизации подготовки пловцов]	2054		Войцеховский	С	Voitsekhovskii	S	Молодая гвардия	1961	3	221	228	8
О чем рассказывают советские марки. [Заметки филателиста]	4028		Карлинский	Владлен	Karlinskii	Vladlen	Молодая гвардия	1961	3	222	228	7
Где вы, молодые герои? [Заметки о современных советских фильмах,посвящ. молодежи]	9151		Бахметьева	С	Bakhmet'eva	S	Молодая гвардия	1961	3	229	231	3
Фельетоны [И.] Шатуновского. Из курсовой работы студента-заочника 4курса отд-ния журналистики Ленингр. ун-та	6009		Михайлюк	В	Mikhailiuk	V	Молодая гвардия	1961	3	234	235	2
Коммунистический марш. Стихи	74144648400756216811	74144648400756216811	Ковалев	Дмитрий	Kovalev	Dmitrii	Молодая гвардия	1961	4	3		1
Богиня Изида. [Рассказ]. Илл: М. Рудаков	38222252	38222252	Первенцев	Аркадий	Perventsev	Arkadii	Молодая гвардия	1961	4	4	26	23
Портрет Ленина. Лирическая поэма	117998414	117998414	Рядченко	Иван	Riadchenko	Ivan	Молодая гвардия	1961	4	27	30	4
