aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Лубнин, Лев.			От зари до зари. [Очерк]	Наш современник	1963	4	115-137
Попов, Владимир.			Бесконечность лучшего. [О дир. завода «Запорожсталь» Л. Д. Юпко.Очерк]	Наш современник	1963	4	138-149
Ваксберг, Аркадий.			В поисках истины. Рассказы о криминалистике	Наш современник	1963	4	150-16
Сытин, В.			Совсем немного Парижа. [Путевые заметки]	Наш современник	1963	4	166-178
Залесский, В.	Кузнецова, И.		Люди и фильмы. Раздумья. Полемика	Наш современник	1963	4	179-197
Яшин, Александр.			С большой буквы. [Воспоминания о А. А.Фадееве]	Наш современник	1963	4	198-208
Скуратов, Михаил.			Сергей Марков. [О творчестве поэта]	Наш современник	1963	4	209-218
Носов, Е.			Моя Джомолунгма. Повесть	Наш современник	1963	4	77-99
Наумов, К.			Лермонтовские крылатые слова в произведениях В. И. Ленина	Наш современник	1964	10	102—104
Сандлер, Владимир.			Родные пенаты. [О Доме-музее М. Ю. Лермонтова в Тарханах]	Наш современник	1964	10	105—108
Сорокин, Ю.	Тэнно, Г		Ваятели тела. [Заметки об атлетич. гимнастике]	Наш современник	1964	10	109—111
Рыленков, Николай.			«Я верю в неразменные слова...» — «Кто говорит, что короток наш век?...» — «Мне подарила молодость моя...» — «Сколько бы капель горечи...» — «Земля стара, а жизнь всегда нова...» [Стихи]. Илл.: К. Багрова	Наш современник	1964	10	2—3
Боровиков, Григорий.			Чардымское займище. Рассказ. Илл.: Г. Турылев	Наш современник	1964	10	23—31
Бауков, Иван.			Старый дом. — Рица. — Мы еще вернемся на рыбалку. [Стихи]. Илл.: К. Багрова	Наш современник	1964	10	32—33
Кочнев, Михаил.			Сказы: Народ — все найдет. — Оленка-первоученка. Илл.: М. Харламов	Наш современник	1964	10	35—47
Горский, Валерий.			Весна. — «Мы привыкли среди своих...» — Даль. — Стоит девчонка... — Мечтатели. [Стихи. С предисл. А. Яшина]	Наш современник	1964	10	48—50
Снегов, Сергей.			Гордая жена. Рассказ. Илл.: Ю. Цишевский	Наш современник	1964	10	5—21
Лядов, Андрей.			В начале сезона. Рассказ. Илл.: И. Пчелко	Наш современник	1964	10	51—63
Бунин, И. А.			Генрих. — Месть. Рассказы. [Публикация и предисл. П. Вячеславова]	Наш современник	1964	10	64—77
Шуртаков, Семен.			По дорогам приленского края. Очерк	Наш современник	1964	10	78—85
Пальман, Вячеслав.			Делом славен. [О коллективе науч.-исслед. ин-та испытания тракторов и сельхозмашин. Очерк]	Наш современник	1964	10	91—96
Исбах, Александр.			Владимир Луговской. [Из воспоминаний]	Наш современник	1964	10	97—101
Кайтуков, Георгий.			На пиру осетинском. Стихи. Пер. с осет.: М. Соболь. Илл.: К. Багрова	Наш современник	1964	11	34
